artist,gender,category
Adam Rafferty,male,American_male_guitarists
Adam Rickitt,male,English_male_singers
Adam Rogers,male,American_male_guitarists
Adam Ross,male,American_male_guitarists
Adam Sandler,male,American_male_singers
Adam Schlesinger,male,American_male_guitarists
Adam Schmitt,male,American_male_singers
Adam Sherburne,male,American_male_guitarists
Adam Shoenfeld,male,American_male_guitarists
Adam Siegel,male,American_male_guitarists
Adam Stanger,male,American_male_guitarists
Adam Stemple,male,American_male_guitarists
Adam Thorn,male,American_male_guitarists
Adam Torres,male,American_male_singer-songwriters
Adam Wade,male,American_male_singers
Adam Wexler,male,American_male_guitarists
Adam Yauch,male,American_male_guitarists
Adamski,male,English_male_singers
Adanna Duru,female,American_female_singers
Add-2,male,African-American_male_rappers
Addie Graham,female,American_female_singers
Adeem,male,African-American_male_rappers
Adelaide Hall,female,African-American_female_singers
Adelaïde Leuhusen,female,Swedish_female_singers
Adele,female,English_female_pop_singers
Adele Holness,female,English_female_singers
Adele Leigh,female,English_female_singers
Adele Ritchie,female,American_female_singers
Adem Ilhan,male,English_male_singers
Adepero Oduye,female,African-American_female_singers
Adeva,female,American_female_singers
Adeyto,female,French_female_singers
Adge Cutler,male,English_male_singers
Adi Braun,female,Canadian_female_singers
Adia Victoria,female,American_female_country_singers
Adiam Dymott,female,Swedish_female_singers
Adina Howard,female,African-American_female_singers
Admiral T,male,French_male_singers
Adolph Hofner,male,American_country_singers
Adolph Jacobs,male,American_male_guitarists
Adolphus Alsbrook,male,American_male_guitarists
Adonis Puentes,male,Male_guitarists
Adrian Baker,male,English_male_singers
Adrian Belew,male,American_male_guitarists
Adrian Borland,male,English_male_singers
Adrian Chirtea,male,American_male_singers
Adrian Gurvitz,male,English_male_singers
Adrian Holovaty,male,American_male_guitarists
Adrian Le Roy,male,Male_guitarists
Adrian Lee,male,Male_guitarists
Adrian Legg,male,Male_guitarists
Adrian Marcel,male,American_male_singers
Adrian Portas,male,English_male_singers
Adrian Smith,male,English_male_singers
Adrian Snell,male,English_male_singers
Adrian Vandenberg,male,Male_guitarists
Adrian Zmed,male,American_male_singers
Adriana Caselotti,female,American_female_singers
Adriana Evans,female,African-American_female_singer-songwriters
Adrianna Bertola,female,British_female_singers
Adrianna Freeman,female,American_female_country_singers
Adrianne Gonzalez,female,American_female_pop_singers
Adrianne León,female,American_female_guitarists
Adriano Celentano,male,Male_songwriters
Adriano Cintra,male,Male_guitarists
Adriel Garcia,male,American_male_guitarists
Adrien Gallo,male,French_male_singers
Adrienne Augarde,female,English_female_singers
Adrienne Bailon,female,American_female_pop_singers
Adrienne Barbeau,female,American_female_singers
Adrienne Lau,female,American_female_singers
Adrienne Pauly,female,French_female_singers
Adrienne Pierce,female,Canadian_female_singers
Adrienne Posta,female,English_female_singers
Adrienne Young,female,American_female_country_singers
Adrijana Krasniqi,female,Swedish_female_singers
Adán Sánchez,male,American_male_singers
Adèle Anderson,female,English_female_singers
Aebh Kelly,female,Irish_female_singers
Aeone,female,English_female_pop_singers
Aeriel Stiles,male,American_male_guitarists
Aesop Rock,male,American_male_rappers
Afrika Bambaataa,male,African-American_male_rappers
Afroman,male,African-American_male_rappers
Afu-Ra,male,African-American_male_rappers
Agape,male,American_male_rappers
Agathe von Trapp,female,American_female_singers
Age Pryor,male,Male_songwriters
Aggro Santos,male,English_male_singers
Agnes Carlsson,female,Swedish_female_singers
Agnes Lum,female,American_female_singers
Agnes Nicholls,female,English_female_singers
Agnetha Fältskog,female,Swedish_female_singers
Agnès Bihl,female,French_female_singers
Agnès Jaoui,female,French_female_singers
Agustín Carbonell,male,Male_guitarists
Agyness Deyn,female,English_female_singers
Ahmad,male,African-American_male_rappers
Ahmad Hussain,male,English_male_singers
Ahmed Abdul-Malik,male,American_male_guitarists
Aida Ward,female,African-American_female_singers
Aidan James,male,American_male_singer-songwriters
Aidan Knight,male,Canadian_male_singers
Aidan Moffat,male,Scottish_male_singers
Aiden Grimshaw,male,English_male_singers
Aiden James,male,American_male_guitarists
Ailee,female,American_female_pop_singers
Aileeah Colgan,female,American_female_country_singers
Aileen Quinn,female,American_female_pop_singers
Aileen Stanley,female,American_female_singers
Aimee Echo,female,American_female_singers
Aimee Horne,female,Australian_female_singers
Aimee Mann,female,American_female_guitarists
Aimee Mayo,female,American_female_country_singers
Aimee Osbourne,female,English_female_singers
Aimé Barelli,male,French_male_singers
Ainjel Emme,female,American_female_singer-songwriters
Ainsley Harriott,male,English_male_singers
Airi L,female,British_female_singers
Aisha,female,English_female_singers
Aisha Kahlil,female,African-American_female_singers
Aitor Porres,male,Male_guitarists
Aiysha Saagar,female,Australian_female_pop_singers
Aja Kim,female,American_female_singer-songwriters
Aja Volkman,female,American_female_singers
Aki Aleong,male,American_male_singer-songwriters
Akina Shirt,female,Canadian_female_singers
Akino,female,American_female_pop_singers
Akinyele,male,African-American_male_rappers
Akir,male,African-American_male_rappers
Akon,male,African-American_male_rappers
Akrobatik,male,African-American_male_rappers
Al Anderson,male,American_male_guitarists
Al Atkins,male,English_male_singers
Al B. Romano,male,American_male_guitarists
Al B. Sure!,male,American_male_singers
Al Barr,male,American_male_singers
Al Berard,male,American_male_guitarists
Al Bernard,male,American_male_singers
Al Caiola,male,American_male_guitarists
Al Caldwell,male,American_male_guitarists
Al Capps,male,American_male_singers
Al Casey,male,American_male_guitarists
Al Ciner,male,American_male_guitarists
Al Cisneros,male,American_male_guitarists
Al Clauser,male,American_male_guitarists
Al Corley,male,American_male_singers
Al Denson,male,American_male_singers
Al Dexter,male,American_country_singers
Al Di Meola,male,American_male_guitarists
Al Doughty,male,Male_guitarists
Al Downing,male,African-American_male_singers
Al Gorgoni,male,American_male_guitarists
Al Green,male,American_male_guitarists
Al Hibbler,male,American_male_singers
Al Hodge,male,English_male_singers
Al Hunter,male,Male_songwriters
Al Hurricane,male,American_country_singers
Al Jardine,male,American_male_guitarists
Al Johnson,male,American_male_singers
Al Jolson,male,American_male_singers
Al Jones,male,English_male_singers
Al Jourgensen,male,American_male_singers
Al Kapone,male,African-American_male_rappers
Al Lewis,male,Welsh_male_singers
Al Martino,male,American_male_singers
Al Matthews,male,African-American_male_singers
Al McKay,male,American_male_guitarists
Al Pearce,male,American_male_guitarists
Al Perkins,male,American_male_guitarists
Al Petteway,male,American_male_guitarists
Al Pitrelli,male,American_male_guitarists
Al Rogers,male,American_country_singers
Al Schnier,male,American_male_guitarists
Al Stewart,male,English_male_singers
Al Tuck,male,Canadian_male_singers
Al Viola,male,American_male_guitarists
Al Wilson,male,American_male_singers
Alain Barrière,male,French_male_singers
Alain Bashung,male,French_male_singers
Alain Chamfort,male,French_male_singers
Alain Johannes,male,American_male_guitarists
Alain Lanty,male,French_male_singers
Alaina Reed Hall,female,African-American_female_singers
Alaine Rodin,female,American_female_singers
Alan Banks,male,Male_guitarists
Alan Barton,male,English_male_singers
Alan Bishop,male,American_male_guitarists
Alan Blakley,male,Male_guitarists
Alan Braden,male,English_male_composers
Alan Breeze,male,English_male_singers
Alan Cartwright,male,Male_guitarists
Alan Clayson,male,English_male_singers
Alan Dale,male,American_male_singers
Alan Doyle,male,Canadian_male_singers
Alan Fitzgerald,male,American_male_guitarists
Alan Frew,male,Canadian_male_singers
Alan Gerber,male,American_male_singer-songwriters
Alan Gill,male,English_male_singers
Alan Goldsher,male,American_male_guitarists
Alan Hawkshaw,male,English_male_composers
Alan Haynes,male,American_male_guitarists
Alan Hull,male,English_male_singers
Alan Jackson,male,American_country_singers
Alan Klein,male,English_male_singers
Alan Landsman,male,American_male_singers
Alan Licht,male,American_male_guitarists
Alan Mair,male,Scottish_male_singers
Alan Merrill,male,American_male_singers
Alan Mills,male,Canadian_male_singers
Alan O'Day,male,American_male_singer-songwriters
Alan Osmond,male,American_male_guitarists
Alan Parker,male,English_male_composers
Alan Paul,male,American_male_singers
Alan Rankine,male,Male_guitarists
Alan Reid,male,Scottish_male_singers
Alan Ritchson,male,American_male_singers
Alan Robert,male,American_male_guitarists
Alan Senauke,male,American_male_guitarists
Alan Sparhawk,male,American_male_guitarists
Alan Spenner,male,Male_guitarists
Alan Tarney,male,Male_guitarists
Alan Tennie,male,British_male_singers
Alan Wilson,male,American_male_guitarists
Alana Bridgewater,female,Canadian_female_singers
Alana Davis,female,American_female_guitarists
Alana Grace,female,American_female_singers
Alana Levandoski,female,Canadian_female_singers
Alanis Morissette,female,American_female_guitarists
Alanna Clarke,female,Canadian_female_singers
Alanna Ubach,female,American_female_singers
Alasdair MacLean,male,English_male_singers
Alastair Riddell,male,Male_songwriters
Alaur Rahman,male,British_male_singers
Alban Bartoli,male,French_male_singers
Albennie Jones,female,African-American_female_singers
Albert Castiglia,male,American_male_guitarists
Albert Collins,male,American_male_guitarists
Albert Cummings,male,American_male_guitarists
Albert Daniels,male,African-American_male_rappers
Albert Elms,male,English_male_composers
Albert Fields,male,American_male_singers
Albert Hammond,male,English_male_singers
Albert Hammond Jr.,male,American_male_guitarists
Albert Harris,male,English_male_composers
Albert Järvinen,male,Male_guitarists
Albert King,male,American_male_guitarists
Albert Marcœur,male,French_male_singers
Albert Verrecchia,male,Male_songwriters
Albert White,male,African-American_male_singers
Alberta Adams,female,American_female_singers
Alberta Hunter,female,American_female_singers
Albertina Walker,female,African-American_female_singer-songwriters
Alberto Cheli,male,Male_songwriters
Alberto Domínguez,male,Male_songwriters
Alberto Fortis,male,Male_songwriters
Alberto Mesirca,male,Male_guitarists
Alberto Ponce,male,Male_guitarists
Alberto Pérez,male,Male_guitarists
Alberto Testa,male,Male_songwriters
Alberto Villalón,male,Male_guitarists
Alberto Zayas,male,Male_songwriters
Albin,male,Swedish_male_singers
Albin Ljungqvist,male,Swedish_male_singers
Albin Sandqvist,male,Swedish_male_singers
Albita Rodríguez,female,American_female_singers
Alden Penner,male,Canadian_male_singers
Aldo Nova,male,Canadian_male_singers
Alec Baillie,male,American_male_guitarists
Alec Benjamin,male,American_male_singer-songwriters
Alec Dankworth,male,English_male_composers
Alec Hurley,male,English_male_singers
Alec MacKaye,male,American_male_guitarists
Alec Ounsworth,male,American_male_guitarists
Alec Seward,male,American_male_guitarists
Alec Stone Sweet,male,American_male_guitarists
Alecia Elliott,female,American_female_country_singers
Alecia Nugent,female,American_female_country_singers
Aled Hall,male,Welsh_male_singers
Aled Jones,male,Welsh_male_singers
Aled Wyn Davies,male,Welsh_male_singers
Alee,female,Canadian_female_singers
Aleena Gibson,female,Swedish_female_singers
Aleesha Rome,female,Australian_female_singers
Alejandra Ribera,female,Canadian_female_pop_singers
Alejandro Alonso,male,Male_guitarists
Alejandro Balbis,male,Male_guitarists
Alejandro Escovedo,male,American_country_singers
Alejandro González,male,Male_guitarists
Alejandro Silva,male,Male_guitarists
Aleks Syntek,male,Male_songwriters
Aleksa Palladino,female,American_female_singer-songwriters
Aleksey Kuznetsov,male,Male_guitarists
Alela Diane,female,American_female_singers
Alesha Dixon,female,English_female_rappers
Alessandro Cortini,male,Male_guitarists
Alessi Brothers,male,American_male_singers
Alessi's Ark,female,British_female_singers
Alex Arrowsmith,male,American_male_singer-songwriters
Alex Bailey,male,American_male_guitarists
Alex Band,male,American_male_singer-songwriters
Alex Bevan,male,American_male_guitarists
Alex Borstein,female,American_female_singers
Alex Boyé,male,American_male_singers
Alex Briley,male,American_male_pop_singers
Alex Britti,male,Male_guitarists
Alex Call,male,American_male_singers
Alex Cartana,female,British_female_singers
Alex Chilton,male,American_male_guitarists
Alex Clare,male,English_male_singers
Alex Cuba,male,Male_guitarists
Alex DeLaszlo,male,American_male_singers
Alex Dezen,male,American_male_singers
Alex Ebert,male,American_male_singer-songwriters
Alex Faith,male,American_male_rappers
Alex Feather Akimov,male,American_male_guitarists
Alex Fox,male,Male_guitarists
Alex Gaskarth,male,American_male_singer-songwriters
Alex Gaumond,male,Canadian_male_singers
Alex Germains,male,British_male_singers
Alex Glasgow,male,English_male_singers
Alex Goot,male,American_male_guitarists
Alex Greenwald,male,American_male_singers
Alex Griffin,male,Male_guitarists
Alex Grossi,male,American_male_guitarists
Alex Hutchings,male,Male_guitarists
Alex J. Robinson,female,Canadian_female_singers
Alex Jacke,male,American_male_singers
Alex James,male,English_male_singers
Alex Kapranos,male,Male_guitarists
Alex Karzis,male,Canadian_male_singers
Alex Katunich,male,American_male_guitarists
Alex Lacasse,male,Canadian_male_singers
Alex Lambert,male,American_male_guitarists
